,feature,nmatches,ngoodmatches,ex_time
0,,,,
0,orb,383.0,383.0,1.058612823486328
0,orb,383.0,366.0,0.7825689315795898
0,orb,388.0,366.0,0.8308780193328857
0,orb,377.0,366.0,0.8204219341278076
0,orb,383.0,14.0,0.7180080413818359
0,orb,483.0,396.0,0.8020880222320557
0,orb,496.0,429.0,0.9676971435546876
0,orb,490.0,490.0,0.9741818904876708
0,orb,490.0,8.0,0.8581948280334473
0,orb,382.0,351.0,0.7991070747375488
0,orb,366.0,350.0,0.7033090591430664
0,orb,368.0,368.0,0.7472050189971924
0,orb,368.0,8.0,1.0307450294494631
0,orb,1505.0,1437.0,2.835361957550049
0,orb,1518.0,259.0,1.1961159706115725
0,orb,1105.0,1040.0,1.8037769794464111
0,orb,1108.0,1073.0,1.8256289958953853
0,orb,1127.0,1127.0,1.9992101192474363
0,orb,1127.0,85.0,1.0035059452056885
0,orb,636.0,606.0,1.0835390090942385
0,orb,628.0,88.0,1.001473903656006
0,orb,1539.0,1377.0,2.741947889328003
0,orb,1502.0,393.0,1.4177048206329346
0,orb,1489.0,96.0,1.171072006225586
0,orb,973.0,935.0,1.6548089981079102
0,orb,979.0,221.0,1.125847101211548
0,orb,1227.0,388.0,1.4581420421600342
0,orb,1538.0,1538.0,2.930041074752808
0,orb,1538.0,877.0,2.0145730972290044
0,orb,1571.0,1421.0,2.930182933807373
0,orb,1579.0,791.0,1.985476016998291
0,orb,1547.0,654.0,1.698530197143555
0,orb,1634.0,893.0,2.0358800888061523
0,orb,1559.0,1002.0,2.162781000137329
0,orb,1619.0,818.0,2.0274040699005127
0,orb,1635.0,1531.0,2.8239569664001465
0,orb,1642.0,808.0,1.99338698387146
0,orb,1661.0,1460.0,2.980252981185913
0,orb,1642.0,1537.0,3.0916740894317627
0,orb,1645.0,765.0,2.1648380756378174
0,orb,1694.0,358.0,1.754603147506714
0,orb,1906.0,1866.0,4.117509841918944
0,orb,1915.0,294.0,1.594818115234375
0,orb,1435.0,1428.0,2.5771009922027592
0,orb,1438.0,14.0,1.0904510021209717
0,orb,926.0,799.0,1.421816110610962
0,orb,910.0,896.0,1.4705049991607666
0,orb,917.0,17.0,1.0097260475158691
0,orb,1062.0,386.0,1.3232309818267822
0,orb,1028.0,977.0,1.6807780265808103
0,orb,1025.0,360.0,1.1248159408569336
0,orb,1015.0,997.0,1.6076159477233891
0,orb,1013.0,194.0,1.1776940822601318
0,orb,1216.0,1185.0,2.169750928878784
0,orb,1203.0,50.0,1.119035005569458
0,orb,1048.0,62.0,0.9141590595245358
0,orb,820.0,256.0,0.9715080261230468
0,orb,803.0,763.0,1.331514835357666
0,orb,798.0,224.0,1.1666810512542725
0,orb,1057.0,536.0,1.4138309955596924
0,orb,1047.0,937.0,1.8056371212005613
0,orb,1020.0,981.0,1.955496072769165
0,orb,1033.0,8.0,1.2575709819793701
0,orb,299.0,20.0,0.9752728939056396
0,orb,264.0,263.0,0.9887590408325196
0,orb,263.0,18.0,0.9990148544311525
0,orb,202.0,199.0,0.8531010150909424
0,orb,204.0,15.0,0.6092610359191895
0,orb,157.0,157.0,0.6188719272613525
0,orb,158.0,158.0,0.7348370552062988
0,orb,158.0,19.0,0.6366598606109619
0,orb,176.0,176.0,0.6296498775482178
0,orb,176.0,18.0,0.6507420539855957
