,nfeatures,nmatches,ngoodmatches,ex_time
0,385,385,385,4.2852861881
0,385,385,363,3.9824478626
0,385,385,367,3.4729428291
0,373,373,367,4.1700289249
0,382,382,13,3.8269028664
0,496,496,412,4.9251151085
0,494,494,437,4.5942618847
0,506,506,506,4.5542840958
0,506,506,8,3.7839739323
0,363,363,329,3.6709280014
0,372,372,348,3.9995410442
0,369,369,354,4.0318241119
0,378,378,378,3.971973896
0,378,378,7,3.8722360134
0,327,327,308,3.4383649826
0,324,324,316,3.3681979179
0,317,317,311,3.7267210484
0,322,322,321,3.6025848389
0,321,321,16,2.8728430271
0,245,245,229,3.0985999107
0,239,239,197,3.1340517998
0,234,234,226,2.9799449444
0,236,236,236,3.0235450268
0,236,236,13,2.9346010685
0,207,207,9,2.8124449253
0,146,146,128,2.7957730293
0,140,140,2,2.8973238468
0,124,124,5,2.540528059
0,122,122,105,2.6485788822
0,112,112,1,3.0140230656
0,119,119,113,2.8549609184
0,116,116,3,2.8313009739
0,358,358,340,3.60085392
0,354,354,348,3.6126639843
0,360,360,7,3.4042439461
0,508,508,501,4.4111449719
0,516,516,4,3.1041810513
0,257,257,247,3.1646080017
0,256,256,245,3.2297179699
0,254,254,4,2.8715341091
0,150,150,2,2.8361711502
0,308,308,1,2.912446022
0,171,171,159,2.8651099205
0,172,172,1,2.5628740788
0,77,77,77,2.5375030041
0,77,77,7,2.4886500835
0,76,76,3,2.6095919609
0,63,63,62,2.5473160744
0,62,62,62,2.5283398628
0,62,62,7,2.4618148804
0,62,62,62,2.475757122
0,64,64,4,3.0839910507
0,794,794,2,3.216531992
0,88,88,86,2.5919969082
0,90,90,84,2.7400979996
0,88,88,0,3.7941610813
0,1486,1486,1387,13.8765769005
0,1474,1474,56,5.7304701805
0,850,850,816,6.7880320549
0,844,844,815,6.7968859673
0,843,843,46,5.6757879257
0,1587,1587,1264,13.5280799866
0,1637,1637,1037,11.4972300529
0,1612,1612,404,8.6705269814
0,1788,1788,1670,18.0741801262
0,1786,1786,1694,18.0854251385
0,1777,1777,16,5.9664831162
0,875,875,828,6.7788078785
0,861,861,845,6.9419999123
0,859,859,25,4.7333290577
0,937,937,268,4.859454155
0,747,747,703,5.8340268135
0,748,748,191,4.8240699768
0,937,937,377,5.5766270161
0,1002,1002,245,5.1315889359
0,848,848,685,5.864125967
0,822,822,818,6.1654400826
0,821,821,0,2.891138792
0,59,59,58,2.3948030472
0,58,58,58,2.3579230309
0,58,58,4,2.4508199692
0,60,60,4,2.3082098961
0,74,74,74,2.3742361069
0,75,75,0,2.8362967968
0,737,737,127,4.1346580982
0,778,778,699,5.6179609299
0,758,758,0,3.0256021023
0,108,108,103,2.4320421219
0,105,105,4,2.3723540306
0,92,92,92,2.4437448978
0,92,92,8,2.4545459747
0,111,111,4,2.467509985
0,61,61,61,2.3990299702
0,61,61,5,2.3529679775
0,59,59,3,2.2856760025
0,69,69,65,2.3411221504
0,70,70,70,2.2309279442
0,70,70,8,2.1496198177
0,88,88,85,2.1149120331
0,86,86,70,2.1023170948
0,98,98,7,2.090583086
0,82,82,7,2.0807719231
0,93,93,7,2.112585783
0,74,74,61,2.1414020062
0,77,77,73,2.0851891041
0,75,75,4,2.1037700176
0,94,94,87,2.0997099876
0,94,94,94,2.1861970425
0,98,98,7,2.1679079533
0,123,123,123,2.1737308502
0,125,125,125,2.234839201
0,125,125,3,2.1605091095
0,66,66,65,2.1039428711
0,65,65,65,2.1262979507
0,65,65,8,2.1159570217
0,62,62,60,2.0902810097
0,64,64,64,2.0751678944
0,64,64,3,2.1068899632
0,154,154,154,2.2933368683
0,155,155,155,1.5279378891
0,155,155,5,1.5523569584
0,256,256,255,1.700345993
0,255,255,255,1.670374155
0,255,255,22,1.5341031551
0,201,201,198,1.6255760193
0,203,203,2,1.4038670063
0,70,70,7,1.393930912
0,71,71,67,1.4229888916
0,68,68,5,1.700248003
0,680,680,670,2.9612820149
0,671,671,669,2.9637069702
0,671,671,1,1.7613170147
0,213,213,203,1.5961680412
0,207,207,207,1.6773529053
0,207,207,19,1.5813269615
0,271,271,270,1.7397730351
0,274,274,0,1.5203258991
0,137,137,127,1.5068759918
0,136,136,135,1.5934720039
0,138,138,16,1.5925850868
